URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_29.html,2025.3.20250714,active,"1.2.840.10008.6.1.19",AcquisitionModality,,"Transitive closure of CID 29 AcquisitionModality","StructureDefinition/retina-imagingstudy","DICOM"
http://dips.no/fhir/RetinaIntegration/ValueSet/retina-ai-gradability-vs,0.8.0,draft,,RetinaAIGradabilityValueSet,Retina AI Gradability,"Codes indicating whether diagnostic data is suitable for automated AI grading.","OperationDefinition/append-retina-ai-result","Internal"
http://dips.no/fhir/RetinaIntegration/ValueSet/retina-body-site-vs,0.8.0,draft,,RetinaBodySiteValueSet,Retina Body Site,"Body site codes for retinal observations (right or left retina).","StructureDefinition/retina-diabetic-macular-edema-finding,StructureDefinition/retina-image-quality-asessment,StructureDefinition/retina-diabetic-retinopathy-finding,StructureDefinition/retina-imagingstudy","SCT"
http://dips.no/fhir/RetinaIntegration/ValueSet/retina-caution-vs,0.8.0,draft,,RetinaCautionValueSet,Retina Cautions,"Special considerations or cautions for grading this examination (5000-series).","StructureDefinition/cautions-extension","Internal"
http://dips.no/fhir/RetinaIntegration/ValueSet/retina-conclusion-code-vs,0.8.0,draft,,RetinaDiagnosticReportConclusionCodeValueSet,Retina Conclusion,"Codes describing the current or final conclusion of the examination (1000-series).","StructureDefinition/retina-diagnostic-report,StructureDefinition/previous-examination-conclusion-extension","Internal"
http://dips.no/fhir/RetinaIntegration/ValueSet/retina-image-parameter-vs,0.8.0,draft,,RetinaImageParameterValueSet,Retina Image Parameter ValueSet,"Includes codes for both image quality and image view.","StructureDefinition/retina-image-parameter",
http://dips.no/fhir/RetinaIntegration/ValueSet/retina-image-quality-vs,0.8.0,draft,,RetinaImageQualityValueSet,Retina Image Quality,"Image quality as assessed by AI (2000-series).","ValueSet/retina-image-parameter-vs,StructureDefinition/retina-image-quality-asessment","Internal"
http://dips.no/fhir/RetinaIntegration/ValueSet/retina-image-view-vs,0.8.0,draft,,RetinaImageViewValueSet,Retina Image View,"Codes describing the centering used when capturing retinal images, such as macula-centered or optic disc-centered (6000-series).","ValueSet/retina-image-parameter-vs,StructureDefinition/retinal-image-view","Internal"
http://dips.no/fhir/RetinaIntegration/ValueSet/retina-imaging-procedure-vs,0.8.0,draft,,RetinaImagingProcedureValueSet,Retina Imaging Procedures,"Valid procedure codes for Retina imaging studies. Contains two Norwegian procedure codes from no-kodeverk-7275: CKDP10 for fundus photography and CKFX16 for OCT imaging of the eye fundus using light-wave based technique.","StructureDefinition/retina-diagnostic-report,StructureDefinition/retina-imagingstudy","Other"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/retina-observation,StructureDefinition/retina-image-parameter,StructureDefinition/retina-hba1c-observation","SCT"
http://hl7.org/fhir/ValueSet/bodysite-laterality,4.0.1,draft,"2.16.840.1.113883.4.642.3.287",Laterality,Laterality,"Laterality: SNOMED-CT concepts for 'left', 'right', and 'bilateral'","StructureDefinition/retina-imagingstudy","SCT"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/retina-diabetic-macular-edema-finding,StructureDefinition/retina-observation,StructureDefinition/retina-image-quality-asessment,StructureDefinition/retina-diabetic-retinopathy-finding,StructureDefinition/retina-image-parameter,StructureDefinition/retina-hba1c-observation","THO"
http://hl7.org/fhir/ValueSet/device-nametype,4.0.1,draft,"2.16.840.1.113883.4.642.3.1083",DeviceNameType,DeviceNameType,"The type of name the device is referred by.","StructureDefinition/retina-ai-device,StructureDefinition/retina-camera-device","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/device-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.209",FHIRDeviceStatus,FHIRDeviceStatus,"The availability status of the device.","StructureDefinition/retina-ai-device,StructureDefinition/retina-camera-device","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/device-status-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.1081",FHIRDeviceStatusReason,FHIRDeviceStatusReason,"The availability status reason of the device.","StructureDefinition/retina-ai-device,StructureDefinition/retina-camera-device","THO"
http://hl7.org/fhir/ValueSet/device-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.1376",DeviceType,Device Type,"Codes used to identify medical devices. Includes concepts from SNOMED CT (http://www.snomed.org/) where concept is-a 49062001 (Device)  and is provided as a suggestive example.","StructureDefinition/retina-ai-device,StructureDefinition/retina-camera-device","SCT"
http://hl7.org/fhir/ValueSet/diagnostic-report-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.235",DiagnosticReportStatus,DiagnosticReportStatus,"The status of the diagnostic report.","StructureDefinition/retina-diagnostic-report","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/diagnostic-service-sections,4.0.1,draft,"2.16.840.1.113883.4.642.3.234",DiagnosticServiceSectionCodes,Diagnostic Service Section Codes,"This value set includes all the codes in HL7 V2 table 0074.","StructureDefinition/retina-diagnostic-report","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/retina-diagnostic-report,StructureDefinition/retina-observation,StructureDefinition/retina-imagingstudy,StructureDefinition/retina-hba1c-observation","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/retina-diagnostic-report,StructureDefinition/retina-observation,StructureDefinition/retina-imagingstudy,StructureDefinition/retina-hba1c-observation","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/imagingstudy-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.990",ImagingStudyStatus,ImagingStudyStatus,"The status of the ImagingStudy.","StructureDefinition/retina-imagingstudy","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/retina-diabetic-macular-edema-finding,StructureDefinition/retina-diagnostic-report,StructureDefinition/retina-observation,StructureDefinition/retina-image-quality-asessment,StructureDefinition/retina-diabetic-retinopathy-finding,StructureDefinition/retina-imagingstudy,StructureDefinition/retina-ai-device,StructureDefinition/retina-image-parameter,StructureDefinition/retina-hba1c-observation,StructureDefinition/retina-camera-device","Other"
http://hl7.org/fhir/ValueSet/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.403",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/retina-diabetic-macular-edema-finding,StructureDefinition/retina-observation,StructureDefinition/retina-image-quality-asessment,StructureDefinition/retina-diabetic-retinopathy-finding,StructureDefinition/retina-image-parameter,StructureDefinition/retina-hba1c-observation","THO"
http://hl7.org/fhir/ValueSet/observation-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.396",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/retina-diabetic-macular-edema-finding,StructureDefinition/retina-observation,StructureDefinition/retina-image-quality-asessment,StructureDefinition/retina-diabetic-retinopathy-finding,StructureDefinition/retina-image-parameter,StructureDefinition/retina-hba1c-observation","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,4.0.1,active,"2.16.840.1.113883.4.642.3.399",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/retina-diabetic-macular-edema-finding,StructureDefinition/retina-observation,StructureDefinition/retina-image-quality-asessment,StructureDefinition/retina-diabetic-retinopathy-finding,StructureDefinition/retina-image-parameter,StructureDefinition/retina-hba1c-observation","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-methods,4.0.1,draft,"2.16.840.1.113883.4.642.3.395",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/retina-diabetic-macular-edema-finding,StructureDefinition/retina-observation,StructureDefinition/retina-image-quality-asessment,StructureDefinition/retina-diabetic-retinopathy-finding,StructureDefinition/retina-image-parameter,StructureDefinition/retina-hba1c-observation","SCT"
http://hl7.org/fhir/ValueSet/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.3.400",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","StructureDefinition/retina-diabetic-macular-edema-finding,StructureDefinition/retina-observation,StructureDefinition/retina-image-quality-asessment,StructureDefinition/retina-diabetic-retinopathy-finding,StructureDefinition/retina-image-parameter,StructureDefinition/retina-hba1c-observation","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/procedure-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.432",ProcedureReasonCodes,Procedure Reason Codes,"This example value set defines the set of codes that can be used to indicate a reason for a procedure.","StructureDefinition/retina-imagingstudy","SCT"
http://hl7.org/fhir/ValueSet/referencerange-appliesto,4.0.1,draft,"2.16.840.1.113883.4.642.3.407",ObservationReferenceRangeAppliesToCodes,Observation Reference Range Applies To Codes,"This value set defines a set of codes that can be used to indicate the particular target population the reference range applies to.","StructureDefinition/retina-diabetic-macular-edema-finding,StructureDefinition/retina-observation,StructureDefinition/retina-image-quality-asessment,StructureDefinition/retina-diabetic-retinopathy-finding,StructureDefinition/retina-image-parameter,StructureDefinition/retina-hba1c-observation","SCT"
http://hl7.org/fhir/ValueSet/referencerange-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.3.397",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","StructureDefinition/retina-diabetic-macular-edema-finding,StructureDefinition/retina-observation,StructureDefinition/retina-image-quality-asessment,StructureDefinition/retina-diabetic-retinopathy-finding,StructureDefinition/retina-image-parameter,StructureDefinition/retina-hba1c-observation","THO"
http://hl7.org/fhir/ValueSet/series-performer-function,4.0.1,draft,"2.16.840.1.113883.4.642.3.989",ImagingStudySeriesPerformerFunction,ImagingStudy series performer function,"Performer function of an agent in an imaging study series","StructureDefinition/retina-imagingstudy","THO (V3)"
http://hl7.org/fhir/ValueSet/udi-entry-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.211",UDIEntryType,UDIEntryType,"Codes to identify how UDI data was entered.","StructureDefinition/retina-ai-device,StructureDefinition/retina-camera-device","hl7.fhir.r4.core"
